id,provider_type,profit_status,group
701,PRP,Non-profit,
950,PRP,Non-profit,
808,PRP,Non-profit,2
952,PRP,Non-profit,2
815,PRP,Non-profit,2
311,PRP,Non-profit,
610,PRP,Non-profit,
743,PRP,Non-profit,
750,PRP,Non-profit,
642,PRP,Profit,
181,PRP,Non-profit,
568,PRP,Non-profit,
954,PRP,Non-profit,
994,PRP,Non-profit,
763,PRP,Non-profit,
878,PRP,Non-profit,
961,PRP,Non-profit,
908,LA,Non-profit,
723,PRP,Non-profit,
198,PRP,Non-profit,
895,PRP,Non-profit,
420,LA,Local authority,
470,PRP,Non-profit,
541,PRP,Non-profit,
479,PRP,Profit,
82,PRP,Non-profit,
857,PRP,Non-profit,
807,PRP,Non-profit,
83,PRP,Non-profit,
39,PRP,Non-profit,
707,PRP,Non-profit,
1006,PRP,Local authority,
765,PRP,Non-profit,
649,PRP,Non-profit,
805,PRP,Non-profit,
960,PRP,Non-profit,
985,PRP,Non-profit,
531,PRP,Non-profit,
84,PRP,Non-profit,
629,PRP,Non-profit,
199,PRP,Non-profit,
273,LA,Local authority,
827,PRP,Profit,
442,LA,Local authority,
409,LA,Local authority,
772,PRP,Non-profit,
314,PRP,Non-profit,
240,PRP,Non-profit,
624,PRP,Non-profit,
918,PRP,Non-profit,4
888,PRP,Non-profit,4
955,PRP,Non-profit,4
907,PRP,Non-profit,
464,PRP,Profit,
468,PRP,Non-profit,
450,LA,Local authority,
790,PRP,Local authority,
874,PRP,Non-profit,
739,PRP,Non-profit,
556,PRP,Non-profit,
923,PRP,Non-profit,
200,PRP,Non-profit,
534,LA,Local authority,
806,LA,Local authority,
668,LA,Local authority,
934,PRP,Non-profit,
85,PRP,Non-profit,
2,PRP,Non-profit,
905,PRP,Non-profit,
524,PRP,Non-profit,
791,PRP,Non-profit,
86,PRP,Non-profit,
201,PRP,Non-profit,
640,PRP,Non-profit,
315,PRP,Non-profit,
323,PRP,Non-profit,
693,LA,Local authority,
496,PRP,Non-profit,
481,PRP,Non-profit,
579,PRP,Non-profit,
322,LA,Local authority,
298,PRP,Local authority,
4,LA,Local authority,
490,PRP,Non-profit,
438,LA,Non-profit,
87,PRP,Non-profit,
88,PRP,Non-profit,
527,LA,Local authority,
877,PRP,Local authority,
818,PRP,Non-profit,
670,PRP,Non-profit,
766,PRP,Non-profit,
639,PRP,Non-profit,
940,PRP,Non-profit,
626,PRP,Non-profit,
460,LA,Local authority,
713,PRP,Non-profit,
89,PRP,Non-profit,
609,PRP,Non-profit,
422,LA,Local authority,
90,PRP,Non-profit,
529,LA,Local authority,
999,PRP,Non-profit,
462,PRP,Non-profit,
914,PRP,Non-profit,
182,PRP,Non-profit,
933,PRP,Non-profit,
241,PRP,Non-profit,5
959,PRP,Non-profit,5
692,PRP,Non-profit,
465,PRP,Non-profit,
518,LA,Local authority,
25,PRP,Non-profit,
34,LA,Local authority,
800,PRP,Local authority,
202,PRP,Non-profit,
544,PRP,Non-profit,
953,PRP,Non-profit,
637,PRP,Non-profit,
461,LA,Local authority,
880,PRP,Local authority,
40,PRP,Non-profit,
401,LA,Local authority,
1015,PRP,Local authority,
429,LA,Local authority,
983,PRP,Non-profit,
652,PRP,Non-profit,
279,LA,Local authority,
275,PRP,Non-profit,
665,PRP,Non-profit,
704,PRP,Non-profit,
734,PRP,Non-profit,
408,LA,Local authority,
854,PRP,Non-profit,
700,PRP,Non-profit,
733,PRP,Non-profit,
870,PRP,Non-profit,
23,PRP,Non-profit,
430,LA,Local authority,
831,PRP,Non-profit,
844,PRP,Non-profit,
302,LA,Local authority,
286,PRP,Non-profit,
41,PRP,Non-profit,
284,LA,Local authority,
493,PRP,Non-profit,
798,LA,Local authority,
335,LA,Local authority,
91,PRP,Non-profit,
661,PRP,Non-profit,
850,PRP,Non-profit,
