local_authority_code,linked_local_authority_code
E06000063,E07000027
E06000063,E07000030
E06000063,E07000031
E07000027,E06000063
E07000030,E06000063
E07000031,E06000063
E06000064,E07000026
E06000064,E07000028
E06000064,E07000029
E07000026,E06000064
E07000028,E06000064
E07000029,E06000064
E06000065,E07000163
E06000065,E07000164
E06000065,E07000165
E06000065,E07000166
E06000065,E07000167
E06000065,E07000168
E06000065,E07000169
E07000163,E06000065
E07000164,E06000065
E07000165,E06000065
E07000166,E06000065
E07000167,E06000065
E07000168,E06000065
E07000169,E06000065
E06000066,E07000187
E06000066,E07000188
E06000066,E07000246
E06000066,E07000189
E07000187,E06000066
E07000188,E06000066
E07000246,E06000066
E07000189,E06000066
