Missing answers,Organisation ID,Log ID,Old Form ID,Old Log ID
age1_known,{org_id0},{id0},1000,old_id_age1_known_0
age1_known,{org_id1},{id1},1001,old_id_age1_known_1
age1_known,{org_id2},{id2},1002,old_id_age1_known_2
age1_known,{org_id3},{id3},1003,old_id_age1_known_3
age1_known,{org_id4},{id4},1004,old_id_age1_known_4
age1_known,{org_id5},{id5},1005,old_id_age1_known_5
age1_known,{org_id6},{id6},1006,old_id_age1_known_6
age1_known,{org_id7},{id7},1007,old_id_age1_known_7
age1_known,{org_id8},{id8},1008,old_id_age1_known_8
age1_known,{org_id9},{id9},1009,old_id_age1_known_9
beds,{org_id2_0},{id2_0},2000,old_id_beds_0
beds,{org_id2_1},{id2_1},2001,old_id_beds_1
beds,{org_id2_2},{id2_2},2002,old_id_beds_2
beds,{org_id2_3},{id2_3},2003,old_id_beds_3
"beds, age1_known",{org_id},{id},300,beds_and_age
